"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"";"35";"van Deún, H.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"36";"Vermeer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Buitelaar, O.S.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Dulfer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Boon, M.C.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Braam, E.G.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Ludriks, M.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Choenni, N.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Roks, L.A.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Hees, E.P.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Kooman, C.V.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Sluijs, D.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Hattem, A.W.J.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Stuger, O.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Strien, G.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"4";"SP (Socialistische Partij)";"";"";"1779";"343";"362";"340";"163";"275";"217";"79"
"";"";"1";"Roemer, E.G.M.";"1260";"219";"285";"270";"108";"157";"162";"59"
"";"";"2";"Leijten, R.M.";"41";"12";"9";"8";"2";"4";"3";"3"
"";"";"3";"Marijnissen, L.M.C.";"115";"32";"14";"11";"16";"28";"8";"6"
"";"";"4";"van Raak, A.A.G.M.";"3";"0";"0";"1";"0";"1";"0";"1"
"";"";"5";"Karabulut, S.";"7";"1";"2";"0";"1";"3";"0";"0"
"";"";"6";"Beckerman, S.M.";"276";"60";"45";"39";"24";"65";"38";"5"
"";"";"7";"van Nispen, M.";"2";"0";"0";"0";"0";"1";"0";"1"
"";"";"8";"Kwint, J.P.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"9";"van Kent, B.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"10";"Laçin, C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Futselaar, F.W.";"2";"0";"0";"0";"0";"0";"2";"0"
"";"";"12";"Kooiman, C.J.E.";"3";"0";"2";"0";"0";"0";"1";"0"
"";"";"13";"Hijink, H.P.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Dijk, J.J.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"15";"Smaling, E.M.A.";"5";"1";"0";"1";"0";"1";"0";"2"
"";"";"16";"Alkaya, M.Ö.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Gerven, H.P.J.";"2";"2";"0";"0";"0";"0";"0";"0"
"";"";"18";"Olders, D.W.J.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"19";"Heerschop, A.H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Meijer, A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Maes, S.A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Meyer, R.P.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Dijk-van Leeuwen, S.Y.";"3";"1";"0";"0";"0";"2";"0";"0"
"";"";"24";"de Wit, D.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Peterse, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hoekstra, A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Boerwinkel, E.M.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Hamerslag, P.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Buskoop, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Temmink, N.G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Ridder, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Sluijs, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Akhiat, A.";"0";"0";"0";"0";"0";"0";"0";"0"
