LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,26,""Hoekstra, A.J. (Arnout) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Boerwinkel, E.M.J. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Hamerslag, P.H. (Patty) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Buskoop, B. (Bram) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Temmink, N.G.J. (Nicole) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""de Ridder, N. (Nina) (v)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,32,""van Sluijs, D. (Denise) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Akhiat, A. (Aïsha) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""van Gemert, N.M. (Nicole) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Dijk, J.P. (Jimmy) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""de Vos, A. (Anita) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Bekkering, I.H. (Ineke) (v)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,38,""Staarink, I. (Inez) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Müller, G.J.N. (Nils) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Feenstra, F. (Fenna) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Olierook, M.W. (Marcel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""ten Heuw, M.A. (Mariska) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Helmer - Englebert, R.D. (Renske) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""Vliegenthart, A. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""Hoekstra, T.G. (Tjitske) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Müller, E. (Ellis) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""Inekci, H.H. (Hasan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""Mineur, A.C. (Anne-Marie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Roes, J.M.H. (Annemiek) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""Poppe, R.J.L. (Remi) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"5,CDA,1,""van Haersma Buma, S. (Sybrand) (m)"",2504,250,272,172,260,182,227,245,258,233,110,295"
",,2,""Keijzer, M.C.G. (Mona) (v)"",538,43,56,49,62,45,33,53,67,47,19,64"
",,3,""Peters, W.P.H.J. (René) (m)"",9,2,2,0,0,1,2,1,0,1,0,0"
",,4,""Omtzigt, P.H. (Pieter) (m)"",94,5,12,7,8,3,19,8,8,7,4,13"
",,5,""van Toorenburg, M.M. (Madeleine) (v)"",25,2,1,2,4,0,1,3,6,1,2,3"
",,6,""Knops, R.W. (Raymond) (m)"",4,0,2,0,0,0,1,1,0,0,0,0"
",,7,""Heerma, P.E. (Pieter) (m)"",2,1,1,0,0,0,0,0,0,0,0,0"
