LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,5,""van Tricht, J.H. (Jens) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""van der Kooye, M.I.D. (Ian) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Döll - Osei Ameyaw, P. (Phyllis) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van Saarloos, S.C. (Simone) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Basabose, O. (Olave) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Dekker, M. (Martijn) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Hernández González, J. (Juanita) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Witte, R.S.B. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""van de Vaate, G. (Gert-Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Leito, M.T. (Marianella) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""van der Veen, J. (Jasper) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Bakker, A.M.T. (Annemieke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Wertheim, A.R. (Anne-Ruth) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Helberg, G.O. (Glenn) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Wekker, G.D. (Gloria) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Meulenbelt, A.H. (Anja) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
"22,Niet Stemmers,1,""Plasman, J.P. (Peter) (m)"",4,0,1,0,1,0,0,0,1,0,0,1"
",,2,""Plasman, R. (Rijk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Plasman, R. (Rits) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""van Vliet, W. (Willem) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""El Farougui, N. (Nihad) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Rhee, R.P.R. (Remco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Schwab, M. (Maribel) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Karga, Y. (Yasemin) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Konya, S. (Selmi) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Held, R.A.J. (Rachel) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Pentinga, C.H. (Carolien) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Plasman - van Ligten, J.C. (Judith) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
"23,Libertarische Partij (LP),1,""Valentine, R.W. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,2,""Inen, A.Q. (Arno) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Bouscher, N. (Nathan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Pailer, S. (Simone) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Hampton, M.W. (Mathieu) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Backhuijs, W.Q. (Quintus) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Wessels, I. (Imre) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Knispel, K.J.M. (Karel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Wassenaar, K.J. (Klaas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""van Ginkel, J.G.M. (Juan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""de Vries, A.J.W. (Aike) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Jansen, N. (Nando) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Nagtegaal, S. (Sjors) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""van der Wal, M. (Marinus) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Jansma, E.W. (Ewout) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Woudwijk, B. (Bertus) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Koopmans, S.F.P. (Pallieter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Manders, T.T.A.J. (Toine) (m)"",1,0,1,0,0,0,0,0,0,0,0,0"
"25,JEZUS LEEFT,1,""van der Spek, F.I.A."",61,1,11,9,6,3,7,4,5,5,5,5"
",,2,""Neyndorff, B.M.C.M.E."",1,0,0,0,0,0,0,0,0,0,0,1"
",,3,""Vlasman, B.C."",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""van Ooijen, J.A.C."",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""de Visser, W."",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Winters, J."",1,0,0,0,0,0,0,1,0,0,0,0"
"26,StemNL,1,""van den Eijnde, M.A.A. (Mario) (m)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,2,""van den Eijnde, D.H.A. (Daniel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Ficken, M. (Marcel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""de Wit, W.P.A.J.J. (Willie) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Hessing, W. (Werner) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Fontein, M.L.C. (Mark) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""van Herp, J. (Joyce) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Schalk, C.F. (Kees) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""van Rijsingen, M.H.W. (Máry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Aydi, S. (Sami) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Post, M. (Maruschka) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Goldschmitz, J.A.R.P. (Jolyon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Nabi, G.R. (Gracia) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Griekspoor, E. (Enzio) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Acosta, M.d.L. (Maria) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Berghuis, A.W. (Arnoud) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"27,MenS en Spirit / Basisinkomen Partij / V-R,1,""Fonk, T.Y. (Tara-Joëlle) (v)"",5,0,0,0,0,0,2,3,0,0,0,0"
",,2,""Jacobs, S.H.M. (Sylvie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,3,""Brinkerink, Y. (Yvonne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Busio, P.G. (Petra) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,5,""Vellekoop, R. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Storms, J.M.J. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,7,""Zanda, F.W. (Ferdinand) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Smit, H.R.M.P. (Ron) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Diepenhorst, R.R.R. (Reginald) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Verhoeven, R.F. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""de Boer, R.J. (Reinette) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Streuper, P. (Pauline) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""van Welt, T.J.B. (Thom) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Hakkel, F.J.W. (Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Vlug, P.E. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Korver, M. (Marcel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""van der Zon, R.J.B. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Schaefer, I. (Ingrid) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""de Beer, J.M.L. (Annemarie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Karis, A. (Ashwin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Teunissen, G. (Amadon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Hertroys, F.A. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""van Swieten, L. (Lars) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""van Balkum, E. (Eric) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Verschuur, L.W. (Lysander) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Mauritz, H. (Erika) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Kuiper, J.M. (An) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Wisse, R.V. (Rascha) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Kuiper, T.R.M. (Micha) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""de Meijer, T.M. (Titia) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Morren, H. (Herman) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""Kuiper, J.J. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"

,,,Totaal,13483,1308,1344,973,1418,1183,1224,1401,1375,1226,579,1452
