LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
,,44,"van den Boogaard, A. (Anna) (v)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
,,45,"van Laar, R.P. (Roelof) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Schrofer, T.T. (Tamar) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"van Houwelingen, H.E.F. (Heino) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Mulder, M.A. (Marinka) (v)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,,49,"Bolhuis, W.D. (Wimar) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"Günal - Gezer, S. (Sultan) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,51,"Staal, J.J. (Jelmer) (m)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,52,"Boot, E. (Els) (v)",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,53,"Chahim, M. (Mohammed) (m)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,54,"Koenders, P.T.C. (Petra) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,55,"Breederveld, R. (Roy) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,56,"Menenti, L.M.E. (Laura) (v)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,57,"van de Burgt, R.H.M. (Richard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,58,"Repetur, M.E. (Lou) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,59,"Akrouh, S. (Saami) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,60,"Engbers, A.H.M.G. (Anita) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,61,"Ronnes, T.L. (Thomas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,62,"Wijntuin, P.M. (Peggy) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,63,"Brouwers, L.W.L. (Luc) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,64,"van Zantvoort, A.H.G. (Anja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65,"Cohen, F. (Fred) (m)",2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,66,"Dankert, A.T. (Anne) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,67,"Bouteibi, H. (Hafid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,68,"Voigt, I. (Ivonne) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,69,"Schuurman Hess, J.N. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,70,"Klomp, B.C.D. (Denise) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,71,"Keizer, H.M. (Marco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,72,"Houben, T.A.H. (Tirza) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,73,"van 't Zelfde, E.R.M. (Eric) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,74,"Doevendans, S.S. (Sandra) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,75,"de Haan, F.G. (Foppe) (m)",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,76,"Harmelink, J.E.F. (Jos) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,77,"de Noord, P. (Piet) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,78,"Sporre, G.L. (Gaston) (m)",9,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,1,0
,,79,"Vedelaar, N. (Nelleke) (v)",9,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0
,,80,"Wallinga, W.E. (Ed) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,PVV (Partij voor de Vrijheid),1,"Wilders, G. (Geert) (m)",1324,87,69,77,50,33,94,51,46,65,87,68,141,65,135,12,144,95,5
,,2,"Agema, M. (Fleur) (v)",81,7,4,4,3,5,8,3,4,5,5,3,10,2,6,1,4,7,0
,,3,"Maeijer, V. (Vicky) (v)",8,0,0,0,1,0,1,0,1,0,0,1,1,0,2,0,0,1,0
,,4,"Markuszower, G. (Gidi) (m)",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
,,5,"Fritsma, S.R. (Sietse) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,"Bosma, M. (Martin) (m)",11,1,0,0,2,0,0,0,0,0,1,0,2,1,0,1,1,2,0
,,7,"Madlener, B. (Barry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,8,"van Dijck, A.P.C. (Teun) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Helder, L.M.J.S. (Lilian) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Beertema, H.J. (Harm) (m)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,11,"de Graaf, M. (Machiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Graus, D.J.G. (Dion) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,"de Roon, R. (Raymond) (m)",2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,14,"van Weerdenburg, V.D.D. (Danai) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,15,"Mulder, E. (Edgar) (m)",23,0,3,2,0,1,2,1,1,1,1,2,3,0,0,0,3,3,0
,,16,"Gerbrands, K. (Karen) (v)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,17,"de Jong, L.W.E. (Léon) (m)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
