"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Maastricht"
"Nummer";"";"0935"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Theater aan het Vrijthof";"Centre Céramique";"Theater aan het Vrijthof";"Muziekschool Kumulus";"Klooster Zusters onder de Bogen";"Gemeenschapshuis De Lètterdoes";"Kumulus West";"Envida locatie Koepelhof";"Envida locatie Larisa, vm.Klevarie";"Centre Céramique";"Regionaal Historisch Centrum Limb.";"Wijkcombinatiegebouw La Bellettsa";"Buurtcentrum Sint Pieter";"Bernard Lievegoed School BO";"Pieterkelderke";"Stichting Moetiara Maloekoe";"Sportcafé Jekerdal";"Envida locatie Croonenhoff";"St. Gerlachus, Mosae Zorggroep";"Bernard Lievegoed School VO";"Campagne, Mosae Zorggroep";"Gemeenschapshuis Aen de Wan";"Basisschool Petrus en Paulus";"Basisschool Anne Frank";"Daalhof, Mosae Zorggroep";"Envida locatie La Valence";"Vm. Basisschool Fons Olterdissen";"Gymzaal Basisschool De Schans";"Buurtcentrum Ut Förtsje";"Basisschool de Kring";"Kindcentrum Dynamiek";"Harmoniezaal Kon. Harmonie Heer";"Buurtcentrum Mariaberg";"Sint Maartenscollege";"Flat, Elisabeth Gruytersstraat";"Nutsschool Maastricht";"Schoolgebouw Elisabeth Strouvenlaan";"Trefcentrum Wittevrouwenveld";"Stichting 't Gilde";"Maris Stella";"Zaaltje St. Annakerk";"Parochiecentrum Amby";"Buurtcentrum De Romein";"Envida locatie De Zeven Bronnen";"Bibliotheeksteunpunt Malpertuis";"Envida locatie Hagerpoort";"De Wiemerink";"Buurtcentrum Nazareth";"Scharwyerveld, Mosae Zorggroep";"Gemeenschapshuis Kap. Lochtmanhuis";"Centre Manjefiek Malberg";"Basisschool  De Maasköpkes";"Centre Manjefiek Malberg";"Sint Martinushoes";"Wijkcentrum De Luibe";"OBS de Perroen";"Buurtcentrum Boschpoort";"AZM, serrehal";"Winkelcentrum Brusselse Poort";"NS Centraal Station";"OBS de Regenboog";"Mob.Stembur. Maasveld/Mondriaan"
"";"";"12";"Lodders, W.J.H.";"8";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"13";"van 't Wout, B.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"16";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"";"";"15";"Duisenberg, P.J.";"10";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"16";"Hermans, S.T.M.";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"";"";"17";"Mulder, A.";"13";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"18";"de Vries, A.";"8";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"";"";"19";"Ye?ilgöz-Zegerius, D.";"15";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0"
"";"";"20";"Rutte, A.C.L.";"17";"0";"1";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"21";"Tellegen, O.C.";"14";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"1";"0"
