contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 084 Summa College,0772::SB84,,0,479,1,1,0,0,0,446,35,0,0,0,0,0,481,60,45,41,13,72,40,82,20,24,17,7,6,41,5,6,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 085 Sporthal Eckart,0772::SB85,,0,745,0,0,0,0,0,664,81,0,0,0,0,0,745,102,71,63,63,81,55,69,50,32,24,10,6,82,31,6,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 087 Ontmoetingscentrum de Cabine,0772::SB87,,0,721,4,11,0,0,1,686,49,0,0,0,0,0,736,68,57,75,69,61,65,68,47,33,29,8,16,85,28,8,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 088 Basisschool Louis Buelens,0772::SB88,,0,745,2,3,2,1,0,677,76,0,0,3,0,0,753,109,74,65,45,60,76,94,37,25,19,13,13,106,0,7,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 089 Basisschool De Driesprong,0772::SB89,,0,542,3,5,0,0,1,503,46,0,0,0,0,0,550,45,21,63,63,57,41,77,17,37,4,5,4,74,29,2,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 090 Vitalis Berckelhof,0772::SB90,,0,579,6,2,0,0,0,546,41,0,0,0,0,0,587,60,27,58,49,44,56,86,15,43,12,9,9,68,39,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 091 Activiteitencentrum Orka,0772::SB91,,0,703,2,1,0,0,0,654,52,0,0,0,0,0,706,50,44,72,77,77,56,83,51,34,9,12,5,111,15,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 092 Spilcentrum de Boog,0772::SB92,,0,856,2,5,0,4,0,773,94,0,0,4,0,0,867,188,88,67,58,79,66,83,44,28,11,9,6,106,17,3,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 093 Vitalis Wilgenhof,0772::SB93,,0,740,5,2,0,0,1,675,71,0,0,0,0,0,747,103,77,56,24,131,71,138,13,40,8,4,12,50,2,4,7
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 094 Basisschool De Wilakkers,0772::SB94,,0,679,1,2,0,1,0,628,56,1,0,2,0,0,684,96,40,52,25,123,58,136,11,58,8,5,4,53,4,3,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 095 Basisschool Beppino Sarto,0772::SB95,,0,727,5,1,0,0,0,667,66,0,0,0,0,0,733,94,39,78,46,89,72,90,15,52,14,14,10,63,46,4,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 096 Wijkcentrum 't Akkertje,0772::SB96,,0,694,5,3,0,1,0,642,59,0,1,0,0,0,701,64,31,67,73,69,79,86,23,67,4,11,26,48,39,3,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 097 Basisschool De Regenboog,0772::SB97,,0,756,2,0,3,0,0,672,83,0,3,0,0,0,755,104,39,69,33,88,61,129,18,77,11,6,7,81,20,3,10
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 098 Basisschool De Talisman,0772::SB98,,0,973,2,6,0,6,0,971,4,0,6,0,0,0,975,147,70,72,33,136,100,192,7,85,7,10,22,76,5,3,8
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 099 Parktheater,0772::SB99,,0,839,1,2,0,1,0,763,78,0,1,0,0,0,841,236,54,31,19,142,66,139,13,44,3,4,4,77,1,2,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 100 Wijkcentrum de Dommel,0772::SB100,,0,341,1,0,0,0,0,313,29,0,0,0,0,0,342,15,18,39,46,22,22,37,17,21,8,7,10,53,21,4,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 101 Wijkgebouw 't Slot,0772::SB101,,0,1057,2,0,0,0,0,955,104,0,0,0,0,0,1059,141,88,118,84,79,84,112,62,51,32,13,33,123,16,11,10
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 103 Basisschool de Hobbitstee,0772::SB103,,0,583,1,1,0,0,0,529,56,0,0,0,0,0,585,72,48,66,32,67,58,67,42,22,15,7,13,65,2,2,5
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 104 Vitalis Vonderhof,0772::SB104,,0,495,4,0,0,0,0,464,34,0,1,0,0,0,498,65,22,44,14,76,51,106,10,47,3,3,3,48,0,2,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 105 Summa College Welzijn,0772::SB105,,0,603,2,0,2,0,1,537,69,0,0,2,0,0,607,64,24,60,29,92,77,115,10,34,3,9,6,61,9,7,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 106 Gemeenschapshuis de Lievendaal,0772::SB106,,0,353,1,1,1,0,0,334,22,0,0,1,0,0,356,33,26,46,39,35,21,27,12,15,6,5,9,65,2,10,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 107 Basisschool De Spaaihoeve,0772::SB107,,0,479,1,3,0,0,0,429,54,0,0,0,0,0,483,59,50,59,33,44,33,45,24,11,20,9,4,76,4,7,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 108 Basisschool De Boschuil,0772::SB108,,0,720,1,3,0,2,0,657,65,0,2,0,0,0,722,164,80,38,43,68,46,63,32,19,13,9,14,116,6,7,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 109 Vrijetijdsaccomodatie Blixems,0772::SB109,,0,722,1,2,0,0,0,644,81,0,0,0,0,0,725,149,91,34,37,94,53,60,28,35,13,10,10,100,5,2,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 110 Basisschool de Vuurvlinder,0772::SB110,,0,575,4,1,0,2,1,516,65,0,0,2,0,0,582,130,47,35,49,55,45,39,22,29,15,11,3,83,6,5,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 111 Basisschool Trudo,0772::SB111,,0,797,6,2,0,1,1,739,66,0,0,1,0,0,806,100,34,82,56,96,60,118,43,50,7,10,9,107,10,10,5
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 112 De Hangar,0772::SB112,,0,885,3,0,0,2,1,784,101,0,2,0,0,0,886,154,65,75,41,99,71,102,50,41,17,15,6,120,15,13,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 113 Grand Café de Zwarte Doos,0772::SB113,,809,542,8,1,0,0,3,523,24,0,1,0,1,0,550,76,36,23,6,142,42,102,15,22,4,4,3,58,5,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 114 de Bibliotheek,0772::SB114,,1213,898,3,2,0,0,0,849,54,0,0,0,0,0,903,164,31,59,34,167,83,173,11,63,5,10,1,86,4,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 115 Voormalige Internationale School,0772::SB115,,2789,280,1,1,0,0,0,259,23,0,0,0,0,0,282,33,23,31,15,26,23,31,15,27,3,4,4,37,6,2,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 116 Bibliotheek MetaForum TU/e,0772::SB116,,0,1087,1,9,9,0,3,1063,42,2,0,11,0,0,1108,158,46,34,1,379,60,227,4,60,24,15,1,63,9,0,6
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 117 Eindhovens Studenten Corps,0772::SB117,,1910,654,4,0,0,3,1,613,52,5,0,8,0,0,666,148,28,45,14,123,56,98,7,35,8,8,8,70,1,2,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 118 Gymzaal van school Strijp Dorp,0772::SB118,,1236,327,3,2,0,1,0,294,37,0,1,0,0,0,331,48,16,23,38,42,27,45,7,17,7,4,2,43,5,3,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 119 Gymzaal van school Strijp Dorp,0772::SB119,,1304,413,0,2,0,0,0,371,45,1,0,1,0,0,416,42,23,49,52,49,31,58,6,32,6,4,0,48,10,2,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 120 Station NS Noordzijde,0772::SB120,,0,797,2,5,0,0,1,768,36,1,0,1,0,0,805,121,54,55,15,146,81,173,10,41,9,6,1,70,11,1,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 121 Voormalige Internationale School,0772::SB121,,0,217,0,0,0,0,0,200,17,0,0,0,0,0,217,21,15,19,21,32,16,33,10,13,6,3,1,23,0,2,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 122 Eindhoven Airport,0772::SB122,,0,88,0,0,0,0,4,77,7,0,0,0,0,0,88,21,4,7,3,9,11,11,0,3,0,0,3,13,2,0,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 123 Mobiel Stembureau,0772::SB123,,0,27,0,0,0,0,0,26,1,0,0,0,0,0,27,3,0,5,1,5,2,5,0,1,1,1,1,1,1,0,0
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 124 Eindhovens Dagblad,0772::SB124,,1819,597,1,0,0,0,0,563,35,0,0,0,0,0,598,86,28,44,9,143,48,102,4,51,8,4,1,63,4,0,2
